STATION,X_TWD97,Y_TWD97,monthly,time,DIFFDISP,Layer_1,Layer_2,Layer_3,Layer_4,Layer_All
ZHUTANG,2639635.48177,191944.07482,5,2016-09-01,-5.755476349848053,-0.0,0.0,0.0,0.0,0.0
ANHE,2602035.47057,179539.204623,6,2016-10-01,-3.499239885538031,0.0,1.0,2.0,-0.0,3.0
BEICHEN,2608228.94939,178859.958807,6,2016-10-01,0.6025925059562198,1.0,2.0,2.0,0.0,5.0
CANLIN,2608157.27696,173088.151033,6,2016-10-01,-3.623323737497887,3.0,3.0,1.0,1.0,8.0
DONGGUANG,2616755.31388,175783.144962,6,2016-10-01,-1.8033128622130905,0.0,1.0,1.0,0.0,2.0
DONGSHI,2595468.32293,163523.186557,6,2016-10-01,-0.9625993910947361,0.0,4.0,0.0,0.0,4.0
ERLUN,2629865.28709,190429.148778,6,2016-10-01,-4.182099594886185,1.0,0.0,0.0,0.0,1.0
FENGAN,2631894.18276,171859.184496,6,2016-10-01,-2.968806857304642,1.0,-2.0,1.0,0.0,0.0
FENGRONG,2632016.259,179785.17549,6,2016-10-01,-3.976297346483232,2.0,0.0,0.0,0.0,2.0
GUANGFU,2626508.29835,189084.098343,6,2016-10-01,-4.6817070544847486,1.0,0.0,0.0,0.0,1.0
HAIFENG,2629140.25143,171150.145528,6,2016-10-01,-2.9691608645765597,0.0,-1.0,0.0,,-1.0
HONGLUN,2620454.90228,183487.975804,6,2016-10-01,-3.383821672804368,1.0,1.0,0.0,3.0,5.0
HUNAN,2649583.28339,197073.456957,6,2016-10-01,-2.3140034034509385,1.0,2.0,1.0,1.0,5.0
HUWEI,2623606.30661,192041.068482,6,2016-10-01,-1.2695397862586961,0.0,-1.0,2.0,0.0,1.0
JIANYANG,2614756.24677,163506.218274,6,2016-10-01,-5.941909092621781,0.0,2.0,0.0,,2.0
JIAXING,2616146.2859,194875.077945,6,2016-10-01,-2.5916720118485586,0.0,-1.0,2.0,0.0,1.0
KECUO,2613831.28827,182075.186777,6,2016-10-01,-5.285383172844293,6.0,2.0,-1.0,0.0,7.0
LONGYAN,2624184.90663,179646.08447,6,2016-10-01,-4.423875033197347,2.0,1.0,0.0,0.0,3.0
NEILIAO,2611723.34283,184142.181573,6,2016-10-01,-1.8382250428580733,1.0,4.0,-1.0,1.0,5.0
QIAOYI,2637964.78657,196150.707581,6,2016-10-01,-0.18818509561651112,1.0,0.0,-1.0,0.0,0.0
TANQIFENXIAO,2599940.93758,176526.188454,6,2016-10-01,-4.1851423976733155,4.0,1.0,1.0,0.0,6.0
TUKU,2620611.25819,187772.134694,6,2016-10-01,-1.1872306198984373,0.0,1.0,0.0,5.0,6.0
XIGANG,2639733.1713,177634.127419,6,2016-10-01,-4.707874245962405,1.0,4.0,1.0,0.0,6.0
XINGHUA,2643201.13881,188364.082858,6,2016-10-01,-4.2173773633088665,2.0,-1.0,2.0,-2.0,1.0
